epoch,markPrice,apr,net_apr,unrealizedPnl,volume,depth,slippage,position,openNotional
01 23:59,114.34715619141826,54.571246444629814,54.571246444629814,14.95102642318625,33348478.554146532,39257.45392331072,0.17205039927215118,-1.3319993919768862,167.74475723985415
02 23:59,113.10434570774802,61.32430406478874,57.94777525470927,16.801179195832532,29929018.67859981,40543.582704100714,0.16929315942669987,-0.1269515064236515,46.09808331291333
03 23:59,108.10336606763131,50.78977929380082,55.56177660107313,13.915008025698853,28645265.464732446,39809.72534543497,0.17224480931396313,0.9982037016343384,62.01550328997564
04 23:59,103.30050129256442,23.86083931608025,47.6365422798249,6.53721625098089,27082413.199525166,36637.32873643303,0.18575294655993618,2.2165670334367817,176.01502709655142
05 23:59,97.34061369428403,-4.2276286852833005,37.26370808680326,-1.158254434324192,29137533.2129471,33805.324525860575,0.20915432255367697,2.7292117140312513,214.87942402082717
06 23:59,95.14205258477492,15.366608349335625,33.61419146389199,4.210029684749486,29433163.927894447,28893.6459096378,0.22346218965107997,4.247172586440847,348.011503476715
07 23:59,86.71270759869263,-107.63828992397426,13.43526555133967,-29.489942444924452,30553454.793697026,24932.387914623523,0.2517491561735976,5.851683859470292,481.79437633645375
08 23:59,83.8439575561089,-43.81528800969659,6.278946356210137,-12.004188495807284,25517844.138700847,26035.142146647908,0.24243913873543138,7.635953656864032,625.0266290890513
09 23:59,89.29069224290157,170.44792886813414,24.51994441309058,46.698062703598396,27568258.131190747,26278.056525077107,0.2347474971366739,5.319066009502016,414.4528651607661
10 23:59,84.43559243010323,-63.25496661192716,15.742453310588811,-17.330127838884152,30282493.41995825,27336.408963473405,0.2315596273754632,6.663926080671921,519.8777870699696
11 23:59,89.6057524392905,179.62259205689705,30.640647742071373,49.211669056684116,31751201.366578963,33897.38383150583,0.18433695386513307,5.179253823885347,372.18045443285155
12 23:59,95.9534965027173,163.54121880972536,41.71569533104254,44.805813372527496,29431674.33871747,33040.62434608469,0.18979774350734602,3.4482458114884267,194.411472882799
13 23:59,89.70684428454084,-79.1892956943638,32.415311406011284,-21.695697450510636,25548280.51803839,33404.6379446175,0.1939817796700527,6.317724478192538,449.4667831339757
14 23:59,90.40695748157951,78.03021669319195,35.67351892652418,21.378141559778612,28718839.60769764,36632.760173367686,0.168194067150181,5.172596100760742,331.24656739374313
15 23:59,93.05136746764539,84.6545645326574,38.938921966933066,23.193031378810247,21629903.364515927,39089.608169055056,0.14766250085544086,5.485509087617096,349.0357889716606
16 23:59,92.31843848685818,37.02545083996559,38.8193300214976,10.14395913423715,24930513.73964048,39701.16789974912,0.14512803477196543,5.671925335106003,352.48623087518354
17 23:59,86.70623842791336,-76.81004793959488,32.01760190613921,-21.043848750573943,24487032.698999673,35120.06509695133,0.17133400949094052,6.703872419419547,432.05665467124254
18 23:59,86.04621148379847,26.69236120698606,31.721755200630707,7.312975673146866,25012581.851408727,35720.44052346891,0.16575489162140883,7.596007318116406,496.1688264191307
19 23:59,82.61121777222175,-68.9696606038483,26.42220700039497,-18.895797425711862,22313886.678110864,32804.368787098436,0.18675876454371856,8.954182835535526,599.5061164567769
20 23:59,79.23924111747914,-93.37910563286212,20.43214136873212,-25.583316611743044,18708540.34497799,32744.680875747687,0.19438030455570285,10.17254616733797,690.1825238355241
21 23:59,66.04340116182554,-548.9454901490395,-6.6810791797332,-150.396024698367,28479622.983496465,22108.16463336047,0.2708962210029379,15.532013282643788,1059.9813975914544
22 23:59,59.79426879267475,-325.56510016978257,-21.175807406553627,-89.19591785473494,29857129.262159985,15852.862118070003,0.3259091491873783,17.34291397253594,1165.7854472694867
23 23:59,64.79591605350782,346.09716495675156,-5.207417303801225,94.82114108404153,28314626.12689768,19161.397904015685,0.2774681775129972,14.806321462062009,995.6049442924987
24 23:59,63.050354689228385,-73.70604368473192,-8.061526736340005,-20.19343662595395,27932277.977099527,17548.29091371033,0.2900229002121153,15.85158399262476,1053.5337484412562
25 23:59,68.02592707322353,314.92428969304575,4.857905920835426,86.28062731316322,25304492.339764412,21378.58139184456,0.2510013998783472,13.56798496088576,891.2935082371096
26 23:59,65.82060140628326,-103.60009077798078,0.6864445093424951,-28.383586514515287,25915284.79704442,21679.1276501966,0.2645853083045463,15.864899438873962,1036.7175999314854
27 23:59,64.69620789010156,-19.79092755479214,-0.07197667821804704,-5.422171932819765,23575646.208033282,19695.576670271843,0.26761450328874054,15.119234448918377,981.4370634382285
28 23:59,67.0061085403752,149.58540833999646,5.272929929575329,40.982303654793554,21599533.994327933,22615.78343166501,0.24205730064313397,14.366911735838173,922.6567316622923
29 23:59,71.88301358856742,275.1990560138925,14.58072738075868,75.39700164764179,20618277.977001004,27135.057501559113,0.2075684789661737,12.416198860329352,776.8727988557912
30 23:59,67.970334298898,-167.6060220087486,8.507835734441771,-45.919458084588655,21642912.995358814,30069.594987331286,0.18992131961258185,15.045999494547736,950.8247036902671
31 23:59,69.89369691228517,134.90828320601412,12.585269523847332,36.96117348109976,22056729.358373042,26144.364988111447,0.21457970972327006,14.027367856483401,872.6309572432601
